reactome ,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,col1,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-ATH-9623703,HSFA7/ HSFA6B-regulatory network-induced by drought and ABA. ,8,10,0,6,0.008210180624,0.8744177886,0.9996689194,3,4,0.005398110661,-0.3141864478,3702,Arabidopsis thaliana,AT1G12480;AT4G26080;AT1G72770;AT3G50500;AT1G17550;AT4G33950;AT5G66880;AT5G57050,AT1G12480;AT4G26080;AT1G72770;AT3G50500;AT1G17550;AT4G33950;AT5G66880;AT5G57050,,,R-ATH-3899370;R-ATH-3899340;R-ATH-3899352
R-ATH-1119431,UDP-D-glucuronate biosynthesis (from myo-inositol),4,7,0,2,0.005747126437,0.8772807145,0.9996689194,3,3,0.004048582996,-0.3897311138,3702,Arabidopsis thaliana,AT1G14520;AT2G19800;AT5G52560;AT3G01640,AT1G14520;AT2G19800;AT5G52560;AT3G01640,,,R-ATH-1120120;R-ATH-1121124;R-ATH-1119910
R-ATH-5225756,Ethylene mediated signaling,1,3,0,0,0.002463054187,0.879459384,0.9996689194,1,1,0.001349527665,-0.820321981,3702,Arabidopsis thaliana,AT1G04310,AT1G04310,,,R-ATH-5225786
R-ATH-1119278,PRPP biosynthesis I,1,3,0,0,0.002463054187,0.879459384,0.9996689194,1,1,0.001349527665,-0.162446548,3702,Arabidopsis thaliana,AT1G10700,AT1G10700,,,R-ATH-1120700
R-ATH-1119417,Stachyose biosynthesis,1,2,0,1,0.001642036125,0.879459384,0.9996689194,1,2,0.002699055331,0.473936377,3702,Arabidopsis thaliana,AT5G40390,AT5G40390,,,R-ATH-1121409
R-ATH-9675823,DNA strand Elongation,6,13,0,0,0.01067323481,0.8942988072,0.9996689194,6,6,0.008097165992,0.184525011,3702,Arabidopsis thaliana,AT2G29570;AT5G27740;AT1G07370;AT1G77470;AT1G78650;AT5G67100,AT2G29570;AT5G27740;AT1G07370;AT1G77470;AT1G78650;AT5G67100,,,R-ATH-9675841;R-ATH-9675890;R-ATH-9675801;R-ATH-9675780;R-ATH-9675800;R-ATH-9675859
R-ATH-9675815,Leading strand synthesis,6,13,0,0,0.01067323481,0.8942988072,0.9996689194,4,4,0.005398110661,0.184525011,3702,Arabidopsis thaliana,AT2G29570;AT5G27740;AT1G07370;AT1G77470;AT1G78650;AT5G67100,AT2G29570;AT5G27740;AT1G07370;AT1G77470;AT1G78650;AT5G67100,,,R-ATH-9675841;R-ATH-9675801;R-ATH-9675780;R-ATH-9675859
R-ATH-1119570,Cytosolic glycolysis,3,8,0,0,0.006568144499,0.9200825565,0.9996689194,3,4,0.005398110661,0.1266127073,3702,Arabidopsis thaliana,AT3G04120;AT4G24620;AT1G79550,AT3G04120;AT4G24620;AT1G79550,,,R-ATH-1119634;R-ATH-1120053;R-ATH-1120580
R-ATH-1119483,Glutathione biosynthesis,1,1,3,9,8.21E-04,0.921026961,0.9996689194,1,1,0.001349527665,0.06833119075,3702,Arabidopsis thaliana,AT5G27380,AT5G27380,AT2G23600;AT2G23590;AT4G05050,AT5G27380,R-ATH-1120163
R-ATH-1119494,Tryptophan biosynthesis,10,21,0,0,0.01724137931,0.924021807,0.9996689194,5,6,0.008097165992,0.1018867919,3702,Arabidopsis thaliana,AT3G54640;AT5G05590;AT1G25220;AT2G29690;AT5G17990;AT1G29410;AT1G07780;AT4G27070;AT5G05730;AT5G54810,AT3G54640;AT5G05590;AT1G25220;AT2G29690;AT5G17990;AT1G29410;AT1G07780;AT4G27070;AT5G05730;AT5G54810,,,R-ATH-1120885;R-ATH-1119685;R-ATH-1120385;R-ATH-1119851;R-ATH-1120276
R-ATH-1119629,Thiamine biosynthesis,2,3,0,3,0.002463054187,0.9240246972,0.9996689194,3,3,0.004048582996,-0.089467748,3702,Arabidopsis thaliana,AT1G22940;AT4G15560,AT1G22940;AT4G15560,,,R-ATH-1121157;R-ATH-1121083;R-ATH-1121582
R-ATH-1119262,Threonine biosynthesis from homoserine,1,3,11,22,0.002463054187,0.9301119688,0.9996689194,2,2,0.002699055331,-0.008387820917,3702,Arabidopsis thaliana,AT4G29840,AT4G29840,AT3G10700;AT1G01220;AT4G19710;AT3G06580;AT2G26930;AT4G16130;AT1G31230;AT5G27450;AT5G13280;AT4G29840;AT3G01640,AT2G17265,R-ATH-1120344;R-ATH-1121450
R-ATH-1119540,Leucine biosynthesis,10,16,6,17,0.013136289,0.94986423,0.9996689194,4,4,0.005398110661,0.04812268519,3702,Arabidopsis thaliana,AT5G03290;AT3G09810;AT4G35260;AT3G49680;AT5G23010;AT5G23020;AT4G35830;AT1G18500;AT1G74040;AT2G17130,AT5G03290;AT3G09810;AT4G35260;AT3G49680;AT5G23010;AT5G23020;AT4G35830;AT1G18500;AT1G74040;AT2G17130,AT5G03290;AT5G07460;AT1G44900;AT3G10050;AT3G48560;AT1G78370,AT3G49680,R-ATH-1120935;R-ATH-1120159;R-ATH-1120496;R-ATH-1121224
R-ATH-1119265,Tetrahydrofolate biosynthesis I,4,10,8,16,0.008210180624,0.9531228496,0.9996689194,3,5,0.006747638327,0.1935102634,3702,Arabidopsis thaliana,AT4G34570;AT2G16370;AT5G62980;AT3G11750,AT4G34570;AT2G16370;AT5G62980;AT3G11750,AT1G63970;AT3G55010;AT5G61410;AT3G54540;AT4G34740;AT4G04870;AT3G53900;AT2G16570,AT1G31220,R-ATH-1120019;R-ATH-1120141;R-ATH-1121522
R-ATH-1119477,Starch biosynthesis,7,17,0,0,0.01395730706,0.9540661689,0.9996689194,3,4,0.005398110661,0.03586012943,3702,Arabidopsis thaliana,AT5G24300;AT5G51820;AT3G20440;AT2G36390;AT5G03650;AT1G70730;AT1G23190,AT5G24300;AT5G51820;AT3G20440;AT2G36390;AT5G03650;AT1G70730;AT1G23190,,,R-ATH-1120805;R-ATH-1119995;R-ATH-1120390
R-ATH-1119273,Lysine biosynthesis I,8,19,0,0,0.01559934319,0.956417129,0.9996689194,2,5,0.006747638327,0.1798597612,3702,Arabidopsis thaliana,AT3G04120;AT5G14060;AT4G19710;AT5G52100;AT1G79530;AT1G31230;AT5G13280;AT1G16300,AT3G04120;AT5G14060;AT4G19710;AT5G52100;AT1G79530;AT1G31230;AT5G13280;AT1G16300,,,R-ATH-1120601;R-ATH-1120000
